KEY,AID
3521601002,K52G05S00013
3521315021,K52G04S00009
3521601003,K52G05S00013
3520203008,K52G05S00020
3521602032,K52G05S00034
3520115023,K52G06S00037
3520115024,K52G06S00037
3520115025,K52G06S00037
3520115026,K52G06S00037
3520115027,K52G06S00037
3520112012,K52G06S00050
3520101083,K52G06S00121
3520101090,K52G06S00136
3520101091,K52G06S00136
3520120014,K52G06S00005
3520112013,K52G06S00050
3520120015,K52G06S00005
3521313019,K52G04S00006
3520120012,K52G06S00005
3520113006,K52G06S00056
3520203009,K52G05S00020
3520201053,K52G05S00014
3520115006,K52G06S00034A
3520115007,K52G06S00034A
3520115008,K52G06S00034A
3520206006,K52G05S00001
3521305014,K52G04S00013
3521312012,K52G04S00008
3520316009,K52G01S00007
3520118005,K52G06S00064
3520201083,K52G05S00011
3520201084,K52G05S00011
3520316020,K52G01S00008
3520103011,K52G05S00026A
3520103012,K52G05S00026A
3520103013,K52G05S00026A
3520204014,K52G05S00021
3520317019,K52G01S00010
3520204015,K52G05S00021
3520201074,K52G05S00012
3520204016,K52G05S00021
3520204017,K52G05S00021
3520101004,K52G06S00028
3520101028,K52G06S00025
3520106008,K52G06S00139
3520101092,K52G06S00136
3520101113,K52G06S00116
3520101114,K52G06S00116
3520106009,K52G06S00124
3520106010,K52G06S00124
3520106011,K52G06S00124
3520401024,K52G01S00032
3520107002,K52G06S00146
3520107003,K52G06S00146
3520401025,K52G01S00032
3520401026,K52G01S00032
3520107004,K52G06S00146
3520101121,K52G06S00134
3520101122,K52G06S00134
3520101130,K52G06S00109
3520401027,K52G01S00032
3520401028,K52G01S00032
3520401029,K52G01S00032
3520401030,K52G01S00032
3520401031,K52G01S00032
3520401032,K52G01S00032
3520101131,K52G06S00109
3520101135,K52G06S00109
3520401039,K52G01S00032
3520124011,K52G06S00101
3520101005,K52G06S00028
3520105002,K52G06S00029
3520105003,K52G06S00029
3520411008,K52G01S00001
3520125004,K52G06S00004
3520101029,K52G06S00019
3520101030,K52G06S00019
3520125011,K52G06S00004
3520123009,K52G06S00003
3520101031,K52G06S00019
3520101032,K52G06S00013
3520107013,K52G06S00150
3520107014,K52G06S00150
3520101033,K52G06S00013
3520101034,K52G06S00015
3520101035,K52G06S00015
3520101036,K52G06S00014
3520101038,K52G06S00014
3520101042,K52G06S00022
3520201080,K52G05S00018
3520201010,K52G05S00015
3520201025,K52G05S00015
3520201081,K52G05S00018
3520123010,K52G06S00003
3520201026,K52G05S00014
3520201027,K52G05S00015
3520123003,K52G06S00003
3520123004,K52G06S00003
3520201028,K52G05S00014
3521310004,K52G04S00004
3520107005,K52G06S00145
3520108002,K52G06S00149
3520108003,K52G06S00149
3521310011,K52G04S00005
3520103014,K52G05S00026A
3520103015,K52G05S00026A
3520103016,K52G05S00026A
3520108004,K52G06S00149
3520107015,K52G06S00150
3520201082,K52G05S00018
3520101015,K52G06S00026
3520101016,K52G06S00020
3520108005,K52G06S00149
3520101017,K52G06S00020
3520101018,K52G06S00020
3520103017,K52G05S00026A
3520103018,K52G05S00026A
3520101043,K52G06S00018
3520101044,K52G06S00016
3520101045,K52G06S00016
3520101046,K52G06S00017
3520101053,K52G06S00010
3520101054,K52G06S00010
3520103019,K52G05S00026A
3520101055,K52G06S00010
3520101056,K52G06S00010
3520108006,K52G06S00132
3520101057,K52G06S00012
3520101058,K52G06S00012
3520101059,K52G06S00012
3520101066,K52G06S00126
3520108007,K52G06S00132
3520123005,K52G06S00003
3520123006,K52G06S00003
